timestamp,title,app,url,goal,mode,similarity,heuristic,confidence,label
2026-03-24T23:00:11.919711,"FocusLock - Antigravity - COMMIT_EDITMSG","Antigravity.exe","","learning python",deep,0,0,50.0,WARNING
2026-03-24T23:00:13.736860,"FocusLock - Antigravity","Antigravity.exe","","learning python",deep,0.002,0,50.0,WARNING
2026-03-24T23:00:13.952415,"FocusLock - Antigravity","Antigravity.exe","","learning python",deep,0.002,0,50.0,WARNING
2026-03-24T23:00:25.076753,"Mr-NN-2k3/FocusLock - Google Chrome","chrome.exe","","learning python",deep,0,0,50.0,WARNING
2026-03-24T23:01:28.271527,"FocusLock - Antigravity","Antigravity.exe","","learning python",deep,0,0,50.0,PRODUCTIVE
2026-03-24T23:01:33.343566,"ChatGPT - Google Chrome","chrome.exe","","learning python",deep,0,0,50.0,PRODUCTIVE
2026-03-24T23:01:48.414168,"FocusLock - Antigravity","Antigravity.exe","","learning python",deep,0.002,0,50.0,PRODUCTIVE
2026-03-24T23:01:48.608517,"FocusLock - Antigravity","Antigravity.exe","","learning python",deep,0,0,50.0,PRODUCTIVE
2026-03-24T23:01:55.618510,"","explorer.exe","","learning python",deep,0,0,50.0,PRODUCTIVE
2026-03-24T23:01:56.443987,"","explorer.exe","","learning python",deep,0.074,0,50.0,PRODUCTIVE
2026-03-24T23:01:57.477446,"","OpenWith.exe","","learning python",deep,0.048,0,50.0,PRODUCTIVE
2026-03-24T23:01:57.621698,"","OpenWith.exe","","learning python",deep,0,0,50.0,PRODUCTIVE
2026-03-24T23:01:58.625344,"Untitled - Google Chrome","chrome.exe","","learning python",deep,0,0,50.0,PRODUCTIVE
2026-03-24T23:01:59.524312,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T23:01:59.630098,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0,0,50.0,PRODUCTIVE
2026-03-24T23:02:30.314936,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","",standard,0.058,0,50.0,WARNING
2026-03-24T23:02:37.348517,"Downloads - File Explorer","explorer.exe","","",standard,0.018,0,50.0,WARNING
2026-03-24T23:02:37.578509,"Downloads - File Explorer","explorer.exe","","",standard,0.018,0,50.0,PRODUCTIVE
2026-03-24T23:02:38.385422,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","",standard,0.058,0,50.0,WARNING
2026-03-24T23:02:38.610041,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","",standard,0.058,0,50.0,WARNING
2026-03-24T23:02:44.644886,"Personal Projects - FocusLock AI Prompt Design - Google Chrome","chrome.exe","","",standard,0.078,0,50.0,WARNING
2026-03-24T23:02:45.419815,"Personal Projects - FocusLock AI Prompt Design - Google Chrome","chrome.exe","","",standard,0.078,0,50.0,WARNING
2026-03-24T23:02:54.454242,"Open","chrome.exe","","",standard,0.077,0,50.0,WARNING
2026-03-24T23:02:54.688448,"Open","chrome.exe","","",standard,0.077,0,50.0,WARNING
2026-03-24T23:03:02.724528,"Personal Projects - FocusLock AI Prompt Design - Google Chrome","chrome.exe","","",standard,0.078,0,50.0,PRODUCTIVE
2026-03-24T23:03:03.487105,"Personal Projects - FocusLock AI Prompt Design - Google Chrome","chrome.exe","","",standard,0.078,0,50.0,WARNING
2026-03-24T23:03:12.517886,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","",standard,0.058,0,50.0,WARNING
2026-03-24T23:03:12.757811,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","",standard,0.058,0,50.0,WARNING
2026-03-24T23:03:34.795286,"","explorer.exe","","",standard,0.047,0,50.0,WARNING
2026-03-24T23:03:35.568133,"Spotify Premium","Spotify.exe","","",standard,0.039,0,50.0,WARNING
2026-03-24T23:03:35.825681,"Spotify Premium","Spotify.exe","","",standard,0.039,0,50.0,WARNING
2026-03-24T23:03:48.603710,"","explorer.exe","","",standard,0.047,0,50.0,PRODUCTIVE
2026-03-24T23:03:48.861242,"Downloads - File Explorer","explorer.exe","","",standard,0.018,0,50.0,WARNING
2026-03-24T23:03:49.635319,"Downloads - File Explorer","explorer.exe","","",standard,0.018,0,50.0,WARNING
2026-03-24T23:03:54.666996,"","explorer.exe","","",standard,0.047,0,50.0,WARNING
2026-03-24T23:03:54.894782,"","explorer.exe","","",standard,0.047,0,50.0,WARNING
2026-03-24T23:03:55.930377,"Spotify Premium","Spotify.exe","","",standard,0.039,0,50.0,WARNING
2026-03-24T23:03:56.707233,"Spotify Premium","Spotify.exe","","",standard,0.039,0,50.0,WARNING
2026-03-24T23:04:13.778497,"Vishal-Shekhar - I Hate Luv Storys","Spotify.exe","","",standard,0.151,0,50.0,WARNING
2026-03-24T23:04:13.976224,"Vishal-Shekhar - I Hate Luv Storys","Spotify.exe","","",standard,0.151,0,50.0,WARNING
2026-03-24T23:04:16.811382,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","",standard,0.058,0,50.0,WARNING
2026-03-24T23:04:17.009131,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","",standard,0.058,0,50.0,WARNING
2026-03-24T23:04:20.053197,"Personal Projects - FocusLock AI Prompt Design - Google Chrome","chrome.exe","","",standard,0.078,0,50.0,WARNING
2026-03-24T23:04:20.843966,"Personal Projects - FocusLock AI Prompt Design - Google Chrome","chrome.exe","","",standard,0.078,0,50.0,WARNING
2026-03-24T23:05:27.904105,"FocusLock - Antigravity","Antigravity.exe","","",standard,0.085,0,50.0,PRODUCTIVE
2026-03-24T23:05:28.117183,"FocusLock - Antigravity","Antigravity.exe","","",standard,0.085,0,50.0,PRODUCTIVE
2026-03-24T23:05:30.935164,"Personal Projects - FocusLock AI Prompt Design - Google Chrome","chrome.exe","","",standard,0.078,0,50.0,PRODUCTIVE
2026-03-24T23:05:31.151242,"Personal Projects - FocusLock AI Prompt Design - Google Chrome","chrome.exe","","",standard,0.078,0,50.0,PRODUCTIVE
